OrderType,OrderCategory,CustomerCode,CountryName,CustomerOrderNo,Custorderdate,UnitName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,6.0,12.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,6.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,9.0,18.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,9.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,54.0,108.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,54.0
Area Wise,Order,H-1,USA,1918436,2017-02-01,Ft,5,54.0,270.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,54.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,5,71.25,356.25,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,71.25
Area Wise,Order,H-1,USA,1918436,2017-02-01,Ft,4,71.25,285.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],BEIGE,REC,71.25
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,6,128.25,769.5,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC,128.25
Area Wise,Order,H-1,USA,1918436,2017-02-01,Ft,16,128.25,2052.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,REC,128.25
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,36.0,72.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,ROUND,36.0
Area Wise,Order,H-1,USA,1918436,2017-02-01,Ft,4,36.0,144.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],GREEN/IVORY,ROUND,36.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,24.0,48.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,24.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,8,6.0,48.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,6.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,40.0,80.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,40.0
Area Wise,Order,H-1,USA,2149526,2017-07-12,Ft,2,40.0,80.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,40.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,5,27.0,135.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/BLUE,REC,27.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,71.25,142.5,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,REC,71.25
Pc Wise,Order,H-1,USA,SOQ 2225877 ,2017-09-04,Ft,5,71.25,979.65,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,REC,71.25
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,36.0,72.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,ROUND,36.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,64.0,128.0,HAND TUFTED,TUFTED 30C HARD TWIST,OLD LONDON [3715],TERRA/IVORY,ROUND,64.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,6.0,12.0,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLUE/BEIGE,REC,6.0
Area Wise,Order,H-1,USA,1918436,2017-02-01,Ft,7,6.0,42.0,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BLUE/BEIGE,REC,6.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,6.0,12.0,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,6.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,19.25,38.5,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,19.25
Area Wise,Order,H-1,USA,2149526,2017-07-12,Ft,14,19.25,269.5,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,19.25
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,7,88.0,616.0,HAND TUFTED,TUFTED 60C,WEMBLY [CC-206],BEIGE/SAGE,REC,88.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,4,6.0,24.0,HAND TUFTED,TUFTED 60C,TIDES [8597],BLUE,REC,6.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,35,11.25,393.75,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,11.25
Area Wise,Order,H-1,USA,1918436,2017-02-01,Ft,9,11.25,101.25,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,11.25
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,2,88.0,176.0,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,88.0
Area Wise,Order,H-1,USA,2059372,2017-05-12,Ft,1,88.0,88.0,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,88.0
Area Wise,Order,H-1,USA,2091447,2017-05-25,Ft,2,88.0,176.0,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,88.0
Area Wise,Order,H-1,USA,2149526,2017-07-12,Ft,9,88.0,792.0,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,88.0
Area Wise,Order,H-1,USA,1873354,2017-01-16,Ft,3,38.5,115.5,HAND TUFTED,TUFTED 60C,SYMPHONY [8900],SAGE/GREEN,REC,38.5
